Quote_ID,Paper_ID,Theme_Code,Claim_Type,Exact_Quote,Page_Number,PDF_Section,Paraphrase,How_It_Can_Be_Used_In_Review,Confidence_1_5
P022-Q03,P022,PLATFORM_COMPARISON,Theme assignment,"The user study’s focus was the comparison of textual modeling with the creation of the desired model and, therefore, application using LLMs and natural language specification.",6,Conclusion/Future work,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P022-Q04,P022,AI_AUTOMATION,Method,We conducted a user experiment to compare textual modeling with the use of LLMs for that task.,2,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P023-Q01,P023,PLATFORM_COMPARISON,Theme assignment,Direct comparison of the tool with other solutions from the expert’s perspective.,4,Method/Approach,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P023-Q02,P023,ENTERPRISE_ADOPTION,Theme assignment,"Our protoype enables the creation of these apps and further enables the organization of users, teams, applications and projects.",2,Method/Approach,Evidence related to Enterprise adoption.,Use as evidence in the Findings section.,4
P023-Q03,P023,EDUCATION,Theme assignment,"We recruited a total of 10 subjects for this study, aged between 21 and 29 years and students at the University of Kassel (9 subjects) or the TH Köln (1 subject), yet with different majors.",5,Limitations/Validity,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P023-Q04,P023,PLATFORM_COMPARISON,Method,"Low-code vs. the developer: An empirical study on the developer experience and efficiency of a no-code platform Till Guthardt till.guthardt@student.uni-kassel.de University of Kassel Kassel, Germany Jens Kosiol jens.kosiol@uni-kassel.de University of Kassel Kassel, Germany Oliver Hohlfeld oliver.hohlfeld@uni-kassel.de University of Kassel Kassel, Germany ABSTRACT The shortage of competent software developers has led to increased interest in Low-Code Development Platforms (LCDPs), which enable application development with no or minimal coding by leveraging pre-built components.",1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P024-Q01,P024,PLATFORM_COMPARISON,Theme assignment,"To facilitate the comparison of experiences of LCDP use, we propose EDEQ-LCDP, a questionnaire instrument that captures important dimensions of developers’ episodic experience.",2,Method/Approach,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P024-Q02,P024,USABILITY_UX,Theme assignment,"Despite the crucial importance of usability in the product’s initial acceptance, aspects of reliability, motivation, comparison with other products, change in behaviour and touch points - how the product communicates with the user, for example by notifications and alerts - are even more crucial for a user to resonate with a product and value it in the long term.",3,Limitations/Validity,Evidence related to Usability and user experience.,Use as evidence in the Findings section.,4
P024-Q03,P024,EDUCATION,Theme assignment,"Thus, professional developers (professionals with an education or career in software development) can benefit from LCDPs as well, for example by being more productive [29].",6,Method/Approach,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P024-Q04,P024,PLATFORM_COMPARISON,Method,"e-Informatica Software Engineering Journal, Volume 18, Issue 1, 2024, pages: 240105, DOI: 10.37190/e-Inf240105 Measuring End-user Developers’ Episodic Experience of a Low-code Development Platform A Preliminary Study Dongmei Gao ∗ , Fabian Fagerholm ∗ ∗Department of Computer Science, Aalto University dongmei.gao@aalto.fi, fabian.fagerholm@aalto.fi Abstract Background: As low-code development platforms (LCDPs) are becoming a trend, understanding how end-user developers think and feel as they work with such platforms is important.",1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P025-Q01,P025,PLATFORM_COMPARISON,Theme assignment,"Platforms like OutSystems and Mendix enable centralized collaboration and automate build and deployment processes [ 14, 16, 17].",2,Method/Approach,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P025-Q02,P025,AI_AUTOMATION,Theme assignment,"Recently, AI-driven natural language processing tools like ChatGPT have emerged as a technology that impacts software development.",10,Body,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P025-Q03,P025,ENTERPRISE_ADOPTION,Theme assignment,"Using LowCode and NoCode Tools in DevOps: A Multivocal Literature … 79 • Nintex: This LCP is for process management and workflow automation [PS3], [PS5]. • Appian: This LCP enables quick deployment of enterprise applications using drag-and-drop tools, templates, and reusable components ([PS4], [PS5], [PS6], [PS10]). • Joget DX: This platform blends LC application development with business process automation and workflow customization [PS11]. • Stackstorm: This platform focuses on event-driven automation with sensors, triggers, actions, rules, workflows, and audits [PS11]. • OpenCatapult: This platform is an open-source LC DevOps automation platform for managing routine tasks [PS11]. • Mendix is a key player in the LC development field, offering features like cloudnative development, mobile development, and process automation for LC DevOps ([PS2], [PS7], [PS9], [PS10]). • Amazon Web Se...",9,Body,Evidence related to Enterprise adoption.,Use as evidence in the Findings section.,4
P025-Q04,P025,PLATFORM_COMPARISON,Method,"Using LowCode and NoCode Tools in DevOps: A Multivocal Literature Review Muhammad Waqas, Zohaib Ali, Mary Sánchez-Gordón, and Monica Kristiansen Abstract DevOps and Low-code/No-code tools are two trends that are gaining interest in both academic and industry environments.",1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P026-Q01,P026,PLATFORM_COMPARISON,Theme assignment,"Comparison of LCDPs In this study, we investigate four LCDPs.",13,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P026-Q02,P026,QUALITY_TESTING,Theme assignment,A proportion of LCDPs offer testing tools and techniques; some studies have introduced the concept of “low-code testing” [9].,2,Limitations/Validity,Evidence related to Quality assurance and testing.,Use as evidence in the Findings section.,4
P026-Q03,P026,EDUCATION,Theme assignment,"To reduce personal biases, we employ three postgraduate students majoring in software engineering to label each bug independently.",4,Results/Evaluation,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P026-Q04,P026,PLATFORM_COMPARISON,Method,"An Empirical Study of Low-Code Development Platform Bugs Dong Liu, He Jiang , Member , IEEE, Shikai Guo , Y uting Chen, and Lei Qiao Abstract-Low-code development platforms (LCDPs) are increasingly being introduced and leveraged by major IT enterprises to lower the threshold and promote the efficiency of software development.",1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P027-Q01,P027,AI_AUTOMATION,Theme assignment,"Combining low-code development with ChatGPT to novel no-code approaches: A focus-group study Jos ´e Martins a , b , Frederico Branco a , c , Henrique Mamede a , d , * a INESC TEC - Institute for Systems and Computer Engineering, Technology and Science, 4200-465 Porto, Portugal b Instituto Polit ´ecnico de Bragança, Campus de Santa Apol ´onia, 5300-253 Bragança, Portugal c Department of Engineering, School of Sciences and Technology, Universidade de Tr ´as-os-Montes e Alto Douro, 5000-801 Vila Real, Portugal d CEG-UAb, Universidade Aberta, Rua da Escola Polit ´ecnica, 147, 1269-001 Lisboa, Portugal ARTICLE INFO Keywords: Low-code No-code Artificial intelligence Software models ChatGPT LLM ABSTRACT Low-code tools are a trend in software development for business solutions due to their agility and ease of use.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P027-Q02,P027,PLATFORM_COMPARISON,Theme assignment,They were asked to compare the outcomes of using the item in an organization against the results of not utilizing it or some other comparable tool or approach.,7,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P027-Q03,P027,EDUCATION,Theme assignment,"In this scenario, six participants were chosen to represent the per - spectives inherent to developing software solutions with low-code platforms: higher education professors, researchers, end-users, de - velopers, and platform developers (see Table 4 ).",6,Method/Approach,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P027-Q04,P027,AI_AUTOMATION,Method,"Combining low-code development with ChatGPT to novel no-code approaches: A focus-group study Jos ´e Martins a , b , Frederico Branco a , c , Henrique Mamede a , d , * a INESC TEC - Institute for Systems and Computer Engineering, Technology and Science, 4200-465 Porto, Portugal b Instituto Polit ´ecnico de Bragança, Campus de Santa Apol ´onia, 5300-253 Bragança, Portugal c Department of Engineering, School of Sciences and Technology, Universidade de Tr ´as-os-Montes e Alto Douro, 5000-801 Vila Real, Portugal d CEG-UAb, Universidade Aberta, Rua da Escola Polit ´ecnica, 147, 1269-001 Lisboa, Portugal ARTICLE INFO Keywords: Low-code No-code Artificial intelligence Software models ChatGPT LLM ABSTRACT Low-code tools are a trend in software development for business solutions due to their agility and ease of use.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P028-Q01,P028,PLATFORM_COMPARISON,Theme assignment,"Algorithms 2023, 16, 108 2 of 23 Mendix [9] in 2018, and Google announced AppSheet [10], in 2020 as seen from Figure 1.",2,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P028-Q02,P028,CITIZEN_DEV,Theme assignment,"Apart from terminologies, such as LCNC, LCDP and LCAP , there are several other popular notions, such as “citizen developer”, “robotic process automation (RPA)”, “IT-business alignment”, and “business process management (BPM)” interchangeably being used to represent the concept of low-code-no-code development in recent times [11].",2,Limitations/Validity,Evidence related to Citizen development.,Use as evidence in the Themes section.,4
P028-Q03,P028,ENTERPRISE_ADOPTION,Theme assignment,"Often the business leaders have detailed, lengthy, and complex requirements for an organization’s digital footprint in the future.",5,Limitations/Validity,Evidence related to Enterprise adoption.,Use as evidence in the Findings section.,4
P028-Q04,P028,PLATFORM_COMPARISON,Method,Algorithms in Low-Code-No-Code for Research Applications: A Practical Review.,1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P029-Q01,P029,PLATFORM_COMPARISON,Theme assignment,"For selecting the platform, the following suggestions are available in the literature: • Use feature lists to facilitate comparison and selection.",12,Method/Approach,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P029-Q02,P029,MAINTAINABILITY,Theme assignment,"Maintenance - maintenance is provided once the application is released, and if functionality should be extended, additional features can be added, or a new iteration can be initiated.",9,Method/Approach,Evidence related to Maintainability.,Use as evidence in the Findings section.,4
P029-Q03,P029,ENTERPRISE_ADOPTION,Theme assignment,"The most common are web, mobile, enterprise services, business processes, and IoT.",10,Body,Evidence related to Enterprise adoption.,Use as evidence in the Findings section.,4
P029-Q04,P029,PLATFORM_COMPARISON,Method,"Complex Systems Informatics and Modeling Quarterly (CSIMQ) eISSN: 2255-9922 Published online by RTU Press, https://csimq-journals.rtu.lv Article 200, Issue 36, September/October 2023, Pages 68-86 https://doi.org/10.7250/csimq.2023-36.04 Exploring Low-Code Development: A Comprehensive Literature Review Karlis Rokis1 and Marite Kirikova2* 1 Alumni of Riga Technical University, 6A Kipsalas Street, Riga, LV-1048, Latvia 2 Institute of Applied Computer Systems, Riga Technical University, 6A Kipsalas Street, Riga, LV-1048, Latvia rokis.karlis@gmail.com, marite.kirikova@rtu.lv Abstract.",1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P030-Q01,P030,PLATFORM_COMPARISON,Theme assignment,We have expanded our literature review with a comparison of key metrics around our observed LCSD topics against those previously reported for other domains while using the SO data (see Section 7.2).,5,Results/Evaluation,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P030-Q02,P030,INTEGRATION,Theme assignment,"First, we find 40 LCSD topics that we group into five categories: Application Customization, Database and File Management, Platform Adoption, Platform Maintenance, and Third-party API Integration.",1,Abstract/Introduction,Evidence related to Integration.,Use as evidence in the Findings section.,4
P030-Q03,P030,MAINTAINABILITY,Theme assignment,"First, we find 40 LCSD topics that we group into five categories: Application Customization, Database and File Management, Platform Adoption, Platform Maintenance, and Third-party API Integration.",1,Abstract/Introduction,Evidence related to Maintainability.,Use as evidence in the Findings section.,4
P030-Q04,P030,PLATFORM_COMPARISON,Method,"As it is a relatively new paradigm, it is vital to study developers’ diﬃculties when adopting LCSD platforms.",1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P031-Q01,P031,AI_AUTOMATION,Theme assignment,"ACM, New York, NY, USA, 14 pages. https://doi.org/XXXXXXX.XXXXXXX 1 INTRODUCTION Recent advancements in artificial intelligence (AI)-particularly in large language models (LLMs) and multi-agent systems-have significantly expanded the range of tasks that can be automated or supported through intelligent systems [22].",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P031-Q02,P031,USABILITY_UX,Theme assignment,"AIAP reduces cognitive load and enhances usability through three core features: (1) AI-generated suggestions that convert natural language inputs into structured, actionable steps; (2) a modular, node-based visual interface that facilitates intuitive service construction and debugging; and (3) automatic identification and linking of data, actions, and context via intelligent multi-agent collaboration.",2,Limitations/Validity,Evidence related to Usability and user experience.,Use as evidence in the Findings section.,4
P031-Q03,P031,INTEGRATION,Theme assignment,"2 RELATED WORK This section reviews the concept of visual programming, explores the integration of LLMs into visual environments, and examines the cognitive challenges associated with natural language-based LLM interfaces.",2,Limitations/Validity,Evidence related to Integration.,Use as evidence in the Findings section.,4
P031-Q04,P031,AI_AUTOMATION,Method,"A user study involving 32 participants showed that AIAP’s AI-generated suggestions, modular workflows, and automatic identification of data, actions, and context significantly improved participants’ ability to develop services intuitively.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P032-Q01,P032,PLATFORM_COMPARISON,Theme assignment,"And how can we compare different agent architectures and collaboration protocols? • Understanding and quantifying the impact of multi-agent system design decisions: These questions include determining the optimal number and composition of agents for a given problem, the best way to distribute responsibilities and coordinate actions among agents, and the trade-offs between centralized and decentralized control or between homogeneous and heterogeneous agents. • Optimizing of multi-agent systems: Research directions here include the dynamic generation of agents based on task requirements and available resources, tuning workflow configurations to achieve the best performance, and adapting agent teams to changing environments and user preferences.",6,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P032-Q02,P032,AI_AUTOMATION,Theme assignment,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing System Demonstrations, pages 72-79 November 12-16, 2024 ©2024 Association for Computational Linguistics AUTO GEN STUDIO : A No-Code Developer Tool for Building and Debugging Multi-Agent Systems Victor Dibia, Jingya Chen, Gagan Bansal, Suff Syed, Adam Fourney, Erkang Zhu, Chi Wang, Saleema Amershi Microsoft Research, Redmond, United States {victordibia, jingyachen, gaganbansal, suffsyed, adam.fourney, erkang.zhu, chiw, samershi}@microsoft.com Abstract Multi-agent systems, where multiple agents (generative AI models + tools) collaborate, are emerging as an effective pattern for solving long-running, complex tasks in numerous domains.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P032-Q03,P032,INTEGRATION,Theme assignment,AUTO GEN STUDIO offers a web interface and a Python API for representing LLM-enabled agents using a declarative (JSON-based) specification.,1,Abstract/Introduction,Evidence related to Integration.,Use as evidence in the Findings section.,4
P032-Q04,P032,PLATFORM_COMPARISON,Method,"To address this challenge, we present AUTO GEN STUDIO , a no-code developer tool for rapidly prototyping, debugging, and evaluating multi-agent workflows built upon the AUTO GEN framework.",1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P033-Q01,P033,AI_AUTOMATION,Theme assignment,"Keywords Model-driven engineering, large language models, low-code, semiformal, artificial intelligence ACM Reference Format: Thomas Buchmann, René Peinl, and Felix Schwägerl.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P033-Q02,P033,PLATFORM_COMPARISON,Theme assignment,"For all three tasks, GPT4 performs similarly to or better than the benchmark, i.e., specific applications for the respective task.",2,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P033-Q03,P033,CITIZEN_DEV,Theme assignment,"White-box LLM-supported Low-code Engineering: A Vision and First Insights Thomas Buchmann∗ thomas.buchmann@hofuniversity.de Hof University of Applied Sciences Hof, Germany René Peinl∗ rene.peinl@hof-university.de Hof University of Applied Sciences Hof, Germany Felix Schwägerl∗ felix.schwaegerl@oth-regensburg.de OTH Regensburg Regensburg, Germany Abstract Low-code development (LCD) platforms promise to empower citizen developers to define core domain models and rules for business applications.",1,Abstract/Introduction,Evidence related to Citizen development.,Use as evidence in the Themes section.,4
P033-Q04,P033,AI_AUTOMATION,Method,"We report on a case study in manufacturing execution systems, where the implementation of the approach provides first insights.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P034-Q01,P034,PLATFORM_COMPARISON,Theme assignment,"For example, LCPs like Mendix, OutSystems, and PowerApps are positioned as market leaders and are among the most widely used across different industries in areas such as process automation, financial services, public sector industries, and others.",2,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P034-Q02,P034,MDE_VISUAL_PROGRAMMING,Theme assignment,"Keywords: Low-code · Interoperability · Data model · Vendor lock-in 1 Introduction Model-drivenapproachessuchasmodel-drivenengineering(MDE),model-driven architecture (MDA) or model-driven development (MDD) aim to streamline and optimize the delivery of applications from design through development, deployment, and operation by leveraging models at different levels of abstraction [5].",1,Abstract/Introduction,Evidence related to Model-driven / visual programming roots.,Use as evidence in the Background section.,4
P034-Q03,P034,AI_AUTOMATION,Theme assignment,This autocompletion could be done with AI techniques or simpler heuristic-based rules [9].,12,Limitations/Validity,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P034-Q04,P034,PLATFORM_COMPARISON,Method,"In this paper, we study the interoperability between the emergent market of low-code tools as it can have a significant impact in the adoption and long-term success of this new model-based style of software development.",2,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P035-Q01,P035,AI_AUTOMATION,Theme assignment,"Further, for those TAP requests including unknown sensing abilities, ChatIoT can also generate new AI models with knowledge distillation by multimodal LLMs, with a novel model customization method based on deep reinforcement learning.",1,Method/Approach,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P035-Q02,P035,COST_ROI,Theme assignment,"Wang et al. [55] reveal that LLM has the capability to assist or replace human efforts in producing vast amounts of high-quality, human-like content more rapidly and cost-effectively.",2,Method/Approach,Evidence related to Cost and business value.,Use as evidence in the Findings section.,4
P035-Q03,P035,EDUCATION,Theme assignment,"Based on large-scale pre-training on massive text corpora and reinforcement learning from human feedback (RLHF), LLMs can produce superior capability in language understanding, generation, interaction, and reasoning.",7,Method/Approach,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P035-Q04,P035,AI_AUTOMATION,Method,"Further, for those TAP requests including unknown sensing abilities, ChatIoT can also generate new AI models with knowledge distillation by multimodal LLMs, with a novel model customization method based on deep reinforcement learning.",1,Method/Approach,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P036-Q01,P036,AI_AUTOMATION,Theme assignment,"Towards No-Code Programming of Cobots: Experiments with Code Synthesis by Large Code Models for Conversational Programming Chalamalasetti Kranti1,*, Sherzod Hakimov 1 and David Schlangen 1,2 1Computational Linguistics, Department of Linguistics, University of Potsdam, Germany 2German Research Center for Artificial Intelligence (DFKI), Berlin, Germany Abstract While there has been a lot of research recently on robots in household environments, at the present time, most robots in existence can be found on shop floors, and most interactions between humans and robots happen there. “Collaborative robots” (cobots) designed to work alongside humans on assembly lines traditionally require expert programming, limiting ability to make changes, or manual guidance, limiting expressivity of the resulting programs.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P036-Q02,P036,EDUCATION,Theme assignment,"While historically methods have relied on domain-specific model training and learning by demonstration, these techniques often fall short due to their extensive data needs and inability to handle complex instructions [4, 5, 6, 7].",1,Abstract/Introduction,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P036-Q03,P036,LIMITATIONS_GAPS,Theme assignment,"To address these limitations, we explore using Large Language Models (LLMs), and in particular, their abilities of doing in-context learning, for conversational code generation.",1,Abstract/Introduction,Evidence related to Limitations and research gaps.,Use as evidence in the Gaps section.,4
P036-Q04,P036,AI_AUTOMATION,Method,"With this, we systematically evaluate the capabilities of state-of-the-art LLMs for synthesising this kind of code, given in-context examples.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P037-Q01,P037,EDUCATION,Theme assignment,The contrast between accessibility and practicality creates both opportunities and challenges in the rapidly changing field of machine learning education and application development.,2,Limitations/Validity,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P037-Q02,P037,USABILITY_UX,Theme assignment,"The subsequent section discusses the functionality and usability aspects of asanAI, followed by explanation of the key factors considered during the implementation of the toolkit.",2,Limitations/Validity,Evidence related to Usability and user experience.,Use as evidence in the Findings section.,4
P037-Q03,P037,PLATFORM_COMPARISON,Theme assignment,"As an open-source software, users can modify and adaptasanAI to their needs, making it a valuable tool for both beginners and experts in the field.",1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P037-Q04,P037,EDUCATION,Method,"Users can quickly experiment with neural networks and train custom models using various data sources, supported by intuitive visualizations of network structures and data flows. asanAI simplifies the teaching of ML concepts in educational settings and is released under an opensource MIT license, encouraging modifications.",1,Abstract/Introduction,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P038-Q01,P038,AI_AUTOMATION,Theme assignment,"arXiv:2505.21419v2 [cs.AI] 28 May 2025 Diagnosing and Resolving Cloud Platform Instability with Multi-modal RAG LLMs Yifan Wang wangyifan@cs.cornell.edu Computer Science Department, Cornell University Ithaca, NY, USA Kenneth P.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P038-Q02,P038,PLATFORM_COMPARISON,Theme assignment,Data Modes Accuracy Cost (cents) Time (s) Telemetric Data Only 0.34 2.81 4.67 Log Only 0.72 2.31 4.16 Telemetric Data + Log 0.74 2.89 4.89 Table 1: Comparison of the efficacy via utilizing different modes of data.,6,Conclusion/Future work,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P038-Q03,P038,EDUCATION,Theme assignment,"The task is challenging for several reasons: multi-modal language models are still in an a very early stage, and there is a lack of a significant lack of high-quality training data sets for our setting.",1,Abstract/Introduction,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P038-Q04,P038,AI_AUTOMATION,Method,Step-wise evaluations show that ARCA outperforms state-of-the-art alternatives.,1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P039-Q01,P039,PLATFORM_COMPARISON,Theme assignment,"In comparison, visual inputs and representations are unambiguous [20], requiring no probabilistic interpretation, so users can easily understand and manipulate the results returned by LowCoderNL.",4,Results/Evaluation,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P039-Q02,P039,AI_AUTOMATION,Theme assignment,AI for Low-Code for AI Nikitha Rao nikitharao@cmu.edu Carnegie Mellon University United States Jason Tsay jason.tsay@ibm.com IBM Research United States Kiran Kate kakate@us.ibm.com IBM Research United States Vincent J.,1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P039-Q03,P039,MDE_VISUAL_PROGRAMMING,Theme assignment,"At their intersection, we propose LowCoder, the first low-code tool for developing AI pipelines that supports both a visual programming interface (LowCoderVP) and an AI-powered natural language interface (LowCoderNL).",1,Abstract/Introduction,Evidence related to Model-driven / visual programming roots.,Use as evidence in the Background section.,4
P039-Q04,P039,PLATFORM_COMPARISON,Method,We leverage this tool to provide some of the first insights into whether and how these two modalities help programmers by conducting a user study.,1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P040-Q01,P040,AI_AUTOMATION,Theme assignment,INTRODUCTION The rapid advancement of artificial intelligence (AI) technologies has highlighted the importance of Large Language Models (LLMs) across various fields.,1,Limitations/Validity,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P040-Q02,P040,PLATFORM_COMPARISON,Theme assignment,2.4.2 Comparison of Workflow-based AI Multi-Agent No-Code Platforms Effective implementation of MAS through No-Code platforms requires an intuitive drag-and-drop interface that provides an environment for organically linking various agents around workflows.,7,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P040-Q03,P040,ENTERPRISE_ADOPTION,Theme assignment,These advancements are driving significant transformations in enterprise environments.,1,Limitations/Validity,Evidence related to Enterprise adoption.,Use as evidence in the Findings section.,4
P040-Q04,P040,AI_AUTOMATION,Method,"1 2025.01 Beyond Text: Implementing Multimodal Large Language Model-Powered Multi-Agent Systems Using a No-Code Platform Cheonsu Jeong1,* 1Department of AI Automation, SAMSUNG SDS, Seoul, South Korea This study proposes the design and implementation of a multimodal LLM -based Multi-Agent System (MAS) using a No-Code platform to address the practical constraints and significant entry barriers in the process of AI technology adoption within enterprises.",1,Limitations/Validity,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P041-Q01,P041,AI_AUTOMATION,Theme assignment,"Memory Management and Contextual Consistency for Long-Running Low-Code Agents Jiexi Xu University of California, Irvine School of Information & Computer Science jiexix@uci.edu October 1, 2025 Abstract The rise of AI-native Low-Code/No-Code (LCNC) platforms enables autonomous agents capable of executing complex, long-duration business processes.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P041-Q02,P041,PLATFORM_COMPARISON,Theme assignment,5.3 Results and Analysis Table 1: Comparison of Key Performance Indicators Across Strategies Metric Sliding Window Basic RAG Our Hybrid System Task Completion Rate (%) 65.2 81.4 92.5 Average Token Cost (per turn) 580 1150 890 Latency (ms) 120 250 200 Consistency Score (Semantic) 0.78 0.89 0.94 Contradiction Rate (%) 18.1 5.5 1.2 The results in Table 1 show a clear hierarchy of performance.,7,Results/Evaluation,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P041-Q03,P041,CITIZEN_DEV,Theme assignment,"Keywords:LCNC Agents, Memory Management, Contextual Consistency, Large Language Models (LLMs), Hybrid Memory Architecture, Human-in-the-Loop (HITL) 1 Introduction 1.1 The Paradigm Shift of LCNC Agents Over the past decade, Low-Code/No-Code (LCNC) platforms have democratized software development by allowing ""citizen developers"" to construct applications using visual metaphors rather than code [1, 2].",1,Abstract/Introduction,Evidence related to Citizen development.,Use as evidence in the Themes section.,4
P041-Q04,P041,AI_AUTOMATION,Method,"The key contributions of this work include: •A multi-component, hybrid memory architecture that models the agent’s knowledge using distinct episodic and semantic memory stores. •An""Intelligent Decay""mechanism, a formalized mathematical model inspired by active forgetting processes in cognitive science, which proactively prunes and consolidates memories based on a composite utility score. •A user-centric visualization interface that allows non-technical users to act as Human-in-theLoop (HITL) evaluators, directly influencing the agent’s memory by intuitively tagging which facts should be retained or forgotten.",2,Limitations/Validity,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P042-Q01,P042,PLATFORM_COMPARISON,Theme assignment,"The following analysis is based on a full-dataset evaluation, which provides a more accurate and comprehensive comparison.",5,Results/Evaluation,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P042-Q02,P042,AI_AUTOMATION,Theme assignment,"Keywords:AI Agents, Metacognition, Low-Code, Human-in-the-Loop, Failure Prediction, Explainable AI 1 Introduction 1.1 The Challenge of Non-Deterministic Agents The widespread adoption of large language models (LLMs) has enabled the creation of sophisticated AI agents capable of automating complex, multi-step tasks.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P042-Q03,P042,ETHICS_ACCESSIBILITY,Theme assignment,The report discusses the practical and ethical implications of this approach and identifies key directions for future research.,1,Abstract/Introduction,Evidence related to Ethics and accessibility.,Use as evidence in the Findings section.,4
P042-Q04,P042,PLATFORM_COMPARISON,Method,1.3 Core Hypothesis and Contributions The central hypothesis of this study is that adding a metacognitive layer will significantly enhance the resilience of LCNC agents by predicting and mitigating failures through a proactive human handoff.,2,Method/Approach,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P043-Q01,P043,INTEGRATION,Theme assignment,Cognitive Integration: A language should include some explicit mechanisms to support the integration of information from,3,Conclusion/Future work,Evidence related to Integration.,Use as evidence in the Findings section.,4
P043-Q02,P043,PLATFORM_COMPARISON,Theme assignment,This last empirical study is the one where we finally evaluated the three research questions presented in section 4.1. f) Usability and cognitive effort comparison: The original and the proposed BPT were compared in terms of their usability and of the cognitive effort associated in using them.,4,Method/Approach,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
